symbol,date,open,high,low,close,volume
AAPL,2024-01-15,150.25,152.80,149.50,151.75,52000000
AAPL,2024-01-16,151.75,154.20,151.30,153.90,48500000
GOOGL,2024-01-15,140.10,142.50,139.80,141.95,35000000
GOOGL,2024-01-16,141.95,144.30,141.50,143.75,32800000
MSFT,2024-01-15,380.50,385.20,379.80,383.45,28000000
MSFT,2024-01-16,383.45,388.90,382.50,387.10,31500000
TSLA,2024-01-15,245.30,248.75,244.50,247.85,42000000
TSLA,2024-01-16,247.85,251.20,247.00,250.15,45200000
AMZN,2024-01-15,185.75,188.40,185.20,187.55,38000000
AMZN,2024-01-16,187.55,190.75,187.00,189.95,41500000
